ID,Date stamp,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
702313-01,1,1/1/18,0.012793177,0.002132196,0.002132196,0,0.002132196,0,0,0,0,0,0,0.008528785,0.008528785,0,0.008528785,0,0,0,0,0,0,0.081023454,0.002132196,0,0.014925373,0,0,0,0,0.021321962,0,0,0,0,0,0,0,0,0.074626866,0,0.002132196,0.004264392,0,0.014925373,0,0,0,0,0,0.2217484
702313-02,1,1/1/18,0.026898734,0,0,0,0,0,0.004746835,0,0.004746835,0,0,0,0.001582279,0,0,0,0.018987342,0.001582279,0,0,0,0.025316456,0.018987342,0,0.004746835,0,0,0,0.026898734,0.028481013,0,0,0,0,0,0,0,0.006329114,0.033227848,0.014240506,0.02056962,0.036392405,0,0.007911392,0,0,0,0,0,0.1693038
702313-03,1,1/1/18,0,0,0.013215859,0,0,0,0,0,0,0.00660793,0,0,0,0,0,0,0,0,0,0,0,0.050660793,0.013215859,0.026431718,0,0,0,0.002202643,0.008810573,0,0,0,0,0.004405286,0,0,0.004405286,0,0.044052863,0,0.030837004,0,0,0.00660793,0,0,0,0,0,0.28854626
702313-04,1,1/1/18,0,0,0,0,0.006263048,0,0.004175365,0.012526096,0,0,0.004175365,0,0,0,0,0,0,0.018789144,0.010438413,0.002087683,0,0,0,0,0.006263048,0.004175365,0,0,0.025052192,0,0,0,0,0.012526096,0.006263048,0.006263048,0.008350731,0,0.025052192,0,0,0.03131524,0,0.012526096,0,0.002087683,0,0,0,0.27139875
702313-05,1,1/1/18,0,0.003205128,0,0,0,0,0,0,0,0,0,0.052884615,0,0.009615385,0,0,0.009615385,0,0.004807692,0,0.003205128,0.033653846,0,0.020833333,0.030448718,0,0,0,0.019230769,0.004807692,0,0,0,0.030448718,0,0,0,0,0,0,0,0,0.006410256,0,0,0,0,0,0.020833333,0.19871795
702313-06,1,1/1/18,0,0,0,0.006410256,0,0,0.010683761,0,0.002136752,0.008547009,0,0.027777778,0,0,0,0,0.002136752,0,0,0,0,0,0,0,0.025641026,0,0,0,0.034188034,0,0.002136752,0,0,0.032051282,0.010683761,0.025641026,0.006410256,0,0.014957265,0.002136752,0,0,0,0.002136752,0,0,0,0,0,0.27136752
702313-07,1,1/1/18,0.005813954,0,0,0,0.003875969,0,0,0,0,0,0,0.015503876,0,0,0,0,0,0,0.007751938,0,0,0,0,0,0.005813954,0,0,0,0.011627907,0,0,0,0,0.015503876,0,0,0.001937985,0.005813954,0.048449612,0,0.009689923,0.027131783,0.001937985,0,0,0,0,0.003875969,0.009689923,0.26550388
702313-08,1,1/1/18,0,0,0,0,0,0,0,0,0.002906977,0.001453488,0.013081395,0.052325581,0,0,0,0,0,0.024709302,0,0,0,0.00872093,0.001453488,0.005813954,0,0,0.001453488,0.001453488,0.007267442,0.002906977,0,0.005813954,0,0,0,0.05377907,0,0,0.030523256,0,0.030523256,0.026162791,0,0,0,0,0,0.001453488,0.023255814,0.16569767
702313-09,1,1/1/18,0,0.009360374,0.012480499,0,0,0.017160686,0,0.001560062,0,0,0,0.014040562,0.00624025,0.012480499,0,0,0,0.001560062,0.010920437,0,0.001560062,0.010920437,0.014040562,0.004680187,0.034321373,0,0,0,0,0.014040562,0,0.004680187,0,0,0,0,0.015600624,0,0.018720749,0,0.010920437,0.023400936,0.003120125,0,0,0,0.001560062,0,0,0.23400936
702313-10,1,1/1/18,0,0.016750419,0.003350084,0,0,0.001675042,0,0,0,0.001675042,0,0.010050251,0.008375209,0,0,0,0,0.003350084,0,0,0,0.005025126,0,0,0.015075377,0,0,0,0.013400335,0,0,0,0,0,0.013400335,0.003350084,0,0.001675042,0.045226131,0,0.008375209,0.05360134,0,0.001675042,0,0,0,0.011725293,0,0.21440536
702313-11,1,1/1/18,0,0,0,0.004210526,0,0.004210526,0,0.004210526,0,0,0,0.073684211,0.014736842,0.010526316,0,0,0,0.018947368,0.010526316,0.004210526,0,0.04,0.00631579,0.004210526,0.002105263,0.002105263,0,0,0.008421053,0.035789474,0,0,0,0.063157895,0,0,0,0.002105263,0,0,0,0,0,0,0,0,0.012631579,0.010526316,0,0.13684211
702314-1,1,1/1/18,0,0,0,0,0,0.15301391,0,0,0,0.00309119,0,0.057187017,0.023183926,0,0,0,0,0.00618238,0.00927357,0,0,0.00618238,0.013910355,0,0.013910355,0,0,0,0.043276662,0,0.004636785,0,0,0,0,0,0,0,0.015455951,0,0,0.00927357,0,0,0.007727975,0,0,0,0.004636785,0
702314-2,1,1/1/18,0,0.001623377,0,0.003246753,0.006493507,0.16071429,0,0.001623377,0,0,0,0.060064935,0,0,0,0,0,0,0,0,0,0.027597403,0,0,0,0,0.001623377,0,0.055194805,0.00974026,0.006493507,0,0,0.011363636,0.003246753,0,0,0,0.001623377,0,0,0,0,0,0,0,0,0,0,0
702314-3,1,1/1/18,0,0,0,0,0.011210762,0.15695067,0.006726457,0,0,0.024663677,0,0.022421525,0,0.002242153,0,0,0,0,0.038116592,0,0,0.002242153,0,0,0.002242153,0,0,0.015695067,0.040358744,0,0,0,0,0,0,0,0,0,0,0.006726457,0,0.015695067,0,0,0,0,0,0,0.004484305,0
702314-4,1,1/1/18,0.001420455,0,0,0,0.008522727,0.14346591,0,0,0,0,0,0.051136364,0,0,0,0.008522727,0,0,0,0,0,0,0,0,0.014204545,0,0,0.021306818,0.019886364,0,0,0,0,0.015625,0,0,0,0.002840909,0.001420455,0,0,0.079545455,0.001420455,0,0,0,0.001420455,0.011363636,0,0
702314-5,1,1/1/18,0.001647447,0,0,0,0,0.19275124,0.013179572,0,0,0,0,0.092257002,0,0,0,0,0,0,0,0,0.001647447,0.014827018,0,0.001647447,0,0,0.001647447,0.021416804,0,0.006589786,0,0,0,0,0,0,0,0,0,0,0.004942339,0.018121911,0,0,0,0,0,0.011532125,0,0.001647447
702314-6,1,1/1/18,0,0,0,0,0.001408451,0.17183099,0,0,0,0,0.023943662,0.087323944,0,0,0.008450704,0.004225352,0,0.009859155,0,0,0,0.008450704,0,0.001408451,0.009859155,0.001408451,0,0,0.023943662,0,0,0,0,0.008450704,0,0,0.001408451,0.002816901,0,0,0.004225352,0.022535211,0,0,0,0,0.004225352,0,0,0
702314-7,1,1/1/18,0,0,0.002680965,0,0,0.24128686,0,0.002680965,0,0,0,0.069705094,0,0,0,0.002680965,0,0.016085791,0,0,0.002680965,0,0,0.002680965,0.032171582,0,0.002680965,0,0.002680965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00536193,0.013404826,0.002680965,0,0,0,0
702314-8,1,1/1/18,0,0,0,0,0.027777778,0.11805556,0,0,0.002314815,0.013888889,0.002314815,0.090277778,0,0,0,0,0,0,0,0,0,0.002314815,0.006944444,0,0,0,0,0,0.034722222,0,0,0,0,0,0,0.002314815,0,0,0,0,0,0.030092593,0,0,0,0.002314815,0,0,0.002314815,0
702314-9,1,1/1/18,0,0,0.008995502,0,0.002998501,0.23538231,0,0.004497751,0,0.00149925,0,0.049475262,0,0,0,0.00149925,0,0,0,0,0.00149925,0.004497751,0,0.007496252,0.010494753,0,0.00149925,0,0.008995502,0.013493253,0,0,0,0,0,0,0,0.007496252,0,0.00149925,0,0.026986507,0,0,0,0,0.011994003,0,0.007496252,0
702314-10,1,1/1/18,0,0,0.001639344,0.009836066,0,0.16229508,0,0,0,0,0.003278689,0.06557377,0.013114754,0,0,0.003278689,0,0,0,0,0,0.014754098,0,0.004918033,0,0,0,0.018032787,0.042622951,0,0,0,0,0,0.004918033,0.003278689,0,0,0,0,0.016393443,0,0,0,0,0,0.009836066,0,0,0
702314-11,1,1/1/18,0,0.010504202,0,0,0,0.14915966,0,0,0,0,0.016806723,0.058823529,0,0,0,0.006302521,0,0.006302521,0,0.00210084,0.012605042,0,0,0.021008403,0.004201681,0,0,0,0.058823529,0,0,0,0,0.016806723,0,0,0,0,0,0,0,0,0,0.008403361,0,0,0,0,0,0
702314-12,1,1/1/18,0,0,0,0,0.039792388,0.13148789,0.003460208,0,0,0,0,0,0.027681661,0,0,0.022491349,0,0.001730104,0.006920415,0,0,0,0.008650519,0,0,0,0,0,0.07266436,0,0,0,0,0.01384083,0,0,0,0,0,0,0,0,0,0.012110727,0,0,0,0.024221453,0,0
702314-13,1,1/1/18,0,0,0,0,0.005597015,0.12313433,0,0,0,0.001865672,0,0.050373134,0.005597015,0.001865672,0,0,0,0,0,0,0,0,0.003731343,0,0,0,0,0,0.13619403,0,0.003731343,0,0,0.014925373,0,0,0,0,0,0,0.001865672,0,0,0,0,0,0,0.013059701,0,0
702314-14,1,1/1/18,0,0,0,0,0,0.093886463,0,0,0,0.008733625,0,0.056768559,0.002183406,0,0,0.008733625,0,0.002183406,0,0.017467249,0,0,0,0,0.002183406,0,0,0,0.19432314,0.021834061,0,0,0,0,0,0.004366812,0.002183406,0,0,0,0,0,0,0.006550218,0,0.013100437,0,0.002183406,0,0
702314-15,1,1/1/18,0,0,0,0,0.018518519,0.12808642,0,0,0.00154321,0,0.007716049,0.052469136,0,0,0.00154321,0,0.00308642,0,0,0,0,0,0,0.033950617,0.009259259,0.00154321,0,0,0.075617284,0.00308642,0.00308642,0,0,0,0,0,0,0,0,0.00154321,0,0,0,0,0.00154321,0.013888889,0,0,0,0.00308642
702314-16,1,1/1/18,0.001612903,0,0,0.00483871,0,0.15322581,0,0,0.001612903,0,0,0.10967742,0.008064516,0,0,0,0,0,0,0,0,0,0,0,0.037096774,0,0,0.00483871,0.016129032,0.001612903,0,0.006451613,0,0,0,0,0.00483871,0,0.008064516,0.003225807,0,0,0,0.001612903,0,0.006451613,0,0.00483871,0,0
702314-17,1,1/1/18,0,0,0,0,0,0.10447761,0,0,0,0,0,0.14179104,0.012437811,0,0,0.014925373,0.014925373,0.002487562,0,0,0,0,0,0,0.012437811,0.002487562,0,0.007462687,0.004975124,0,0,0,0.002487562,0.002487562,0,0,0,0,0,0,0,0.027363184,0,0,0,0,0,0.002487562,0,0
702314-18,1,1/1/18,0,0,0,0,0.001694915,0.12033898,0,0,0,0,0,0.086440678,0,0.001694915,0,0.003389831,0,0,0,0,0,0.010169492,0,0,0,0,0,0,0.074576271,0,0,0,0,0.001694915,0,0,0,0,0,0,0,0.047457627,0,0,0,0,0,0.013559322,0,0
702314-19,1,1/1/18,0,0,0,0,0,0.090909091,0,0.001652893,0,0,0,0.031404959,0,0,0,0,0,0,0,0,0.003305785,0.019834711,0,0.004958678,0.023140496,0,0,0,0.1768595,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001652893,0,0.00661157,0.003305785,0,0.004958678,0,0
702314-20,1,1/1/18,0,0,0,0,0.003759399,0.14849624,0,0,0,0,0,0.060150376,0,0,0,0,0,0.007518797,0.011278195,0.001879699,0,0.003759399,0,0,0,0,0,0.009398496,0.039473684,0,0,0,0,0.015037594,0.005639098,0,0,0.007518797,0.003759399,0,0.001879699,0.009398496,0,0.020676692,0,0.003759399,0.001879699,0,0,0
702314-21,1,1/1/18,0,0,0,0,0,0.10933941,0.009111617,0.013667426,0,0,0,0.041002278,0,0,0,0,0,0,0,0,0.004555809,0,0.002277904,0,0.034168565,0.002277904,0,0.002277904,0.045558087,0.011389522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034168565,0,0.027334852,0,0,0
702314-22,1,1/1/18,0.003921569,0,0.001960784,0.003921569,0,0.22156863,0,0,0,0,0,0.060784314,0.007843137,0.001960784,0,0.007843137,0,0,0,0,0,0,0,0.001960784,0.019607843,0,0,0,0.029411765,0,0,0.001960784,0,0,0,0.003921569,0,0,0,0.009803922,0,0,0,0,0,0.01372549,0.003921569,0.001960784,0.007843137,0
702315-1,1,1/1/18,0,0,0,0,0.004040404,0,0,0.014141414,0,0.076767677,0.002020202,0.026262626,0.01010101,0.018181818,0.006060606,0.002020202,0,0,0,0,0,0.01010101,0,0.006060606,0,0,0,0.004040404,0.01010101,0,0.026262626,0,0.012121212,0.01010101,0.026262626,0,0,0,0.036363636,0.002020202,0.028282828,0,0,0,0,0.004040404,0.15353535,0,0,0
702315-2,1,1/1/18,0,0.022267206,0,0,0,0,0,0,0,0.022267206,0,0.024291498,0,0,0.018218623,0,0,0.002024292,0.004048583,0,0.002024292,0,0,0,0.002024292,0,0,0,0.032388664,0,0.020242915,0,0,0.026315789,0,0,0,0,0.01417004,0,0,0.004048583,0.002024292,0,0,0,0.24291498,0,0,0.008097166
