702313-01,0.16176471,0,0,0,0.14495798,0,0,0,0,0.035714286,0.035714286,0.027310924,0,0.014705882,0,0.006302521,0.0021008403,0.035714286,0.0042016807,0.010504202
702313-02,0.087025316,0.003164557,0,0.0047468354,0.15822785,0,0,0.026898734,0.0047468354,0.025316456,0.022151899,0.015822785,0.017405063,0.017405063,0,0,0.0063291139,0.026898734,0.0079113924,0.026898734
702313-03,0.16304348,0.0043478261,0,0,0.19347826,0,0.002173913,0,0,0.039130435,0.026086957,0,0,0.002173913,0,0.002173913,0.002173913,0.036956522,0,0.023913043
702313-04,0.10165975,0,0,0,0.21576763,0,0.0020746888,0,0,0.03526971,0,0.018672199,0,0,0.01659751,0.012448133,0,0.041493776,0.024896266,0
702313-05,0.12300319,0.017571885,0,0,0.16134185,0,0.0015974441,0.0063897764,0.0095846645,0.041533546,0,0.059105431,0.0015974441,0,0,0,0,0.025559105,0,0
702313-06,0.1358811,0,0,0,0.20806794,0,0.0063694268,0,0,0.033970276,0.0021231423,0,0.014861996,0.0021231423,0,0,0,0.06581741,0.010615711,0
702313-07,0.10617761,0,0.011583012,0.0057915058,0.19305019,0.0057915058,0,0,0.0019305019,0.013513514,0,0.057915058,0,0,0.015444015,0,0,0,0.011583012,0.015444015
702313-08,0.13112392,0,0,0,0.15129683,0,0.014409222,0.007204611,0,0,0.011527378,0.030259366,0.011527378,0,0.0129683,0.018731988,0.0129683,0.0043227666,0.025936599,0.023054755
702313-09,0.064914992,0,0.0077279753,0,0.20401855,0,0,0.0015455951,0.0015455951,0.026275116,0.0092735703,0.023183926,0.0092735703,0,0,0.01236476,0,0.066460587,0.035548686,0.010819165
702313-10,0.11686144,0,0,0,0.18196995,0,0.0050083472,0,0,0.035058431,0.013355593,0.01836394,0,0,0.011686144,0,0,0.021702838,0.023372287,0.0033388982
702313-11,0.16701461,0,0,0,0.11691023,0,0.054279749,0,0,0,0.029227557,0.016701461,0.0041753653,0,0.054279749,0.012526096,0,0,0,0.012526096
702314-1,0.086021505,0,0.0015360983,0,0.015360983,0,0.02764977,0.021505376,0,0,0,0.026113671,0.016897081,0,0.14592934,0.010752688,0,0.016897081,0,0
702314-2,0.077419355,0,0,0.0016129032,0,0,0,0.0048387097,0,0,0.016129032,0,0,0,0.23709677,0.0048387097,0,0.0080645161,0,0
702314-3,0.082222222,0.013333333,0,0,0,0,0,0,0,0,0.0066666667,0,0.0044444444,0.033333333,0.19555556,0.0088888889,0.0044444444,0,0,0
702314-4,0.1028169,0,0,0.025352113,0,0,0.0014084507,0,0,0.0028169014,0,0.052112676,0,0.042253521,0.14929577,0,0,0,0,0.0042253521
702314-5,0.14967105,0,0,0.023026316,0,0,0,0,0,0.0082236842,0,0.018092105,0.013157895,0.011513158,0.15953947,0,0,0,0,0
702314-6,0.11797753,0,0.0014044944,0.0042134831,0,0.0056179775,0.011235955,0.0042134831,0,0,0,0.050561798,0,0,0.15308989,0.021067416,0.0014044944,0.0070224719,0.0042134831,0.012640449
702314-7,0.11640212,0,0,0.0026455026,0,0,0.023809524,0,0.0052910053,0,0,0,0,0,0.25132275,0,0,0,0,0
702314-8,0.12183908,0,0,0,0,0,0.036781609,0,0,0.0022988506,0.0045977011,0,0.0022988506,0.0045977011,0.16321839,0,0,0,0,0
702314-9,0.10313901,0,0.0029895366,0.0089686099,0,0.0029895366,0,0,0,0,0,0.016442451,0,0.0074738416,0.23617339,0.014947683,0,0.0059790732,0.0059790732,0
702314-10,0.099836334,0,0,0,0,0,0.0081833061,0.016366612,0,0.0032733224,0.0049099836,0.0049099836,0.0098199673,0.045826514,0.17184943,0,0,0.0065466448,0,0
702314-11,0.11410788,0,0,0.018672199,0,0,0,0,0,0,0,0.01659751,0,0.0062240664,0.17842324,0.031120332,0,0,0,0
702314-12,0.069084629,0,0,0.029360967,0,0,0,0.022452504,0,0.0017271157,0,0,0.0017271157,0,0.2417962,0,0,0,0,0
702314-13,0.080733945,0.0018348624,0.0055045872,0,0,0,0.0036697248,0.0091743119,0,0,0.0055045872,0,0,0.0018348624,0.24954128,0.0018348624,0,0.0018348624,0,0
702314-14,0.054347826,0.02173913,0,0.015217391,0,0,0.043478261,0,0,0.0086956522,0,0.0065217391,0,0,0.24782609,0,0,0.036956522,0,0
702314-15,0.053680982,0.009202454,0.0015337423,0,0.0030674847,0,0,0.015337423,0.004601227,0,0,0.018404908,0,0.016871166,0.2208589,0,0,0.013803681,0,0
702314-16,0.12199037,0,0,0,0.017656501,0,0.0048154093,0.011235955,0,0,0,0,0.0096308186,0.054574639,0.14606742,0,0,0.0064205457,0,0
702314-17,0.079012346,0,0.0024691358,0.02962963,0,0,0.0049382716,0,0,0.049382716,0,0,0,0,0.17530864,0.0098765432,0,0,0,0
702314-18,0.13804714,0.0033670034,0,0.015151515,0,0,0,0,0,0,0,0.047138047,0,0,0.15319865,0,0,0,0.0016835017,0
702314-19,0.080858086,0,0,0.001650165,0.0066006601,0,0.01980198,0.001650165,0,0,0,0.0066006601,0,0,0.21617162,0,0,0.034653465,0,0
702314-20,0.08988764,0,0,0,0,0,0.011235955,0,0.0018726592,0.031835206,0.02247191,0,0.0018726592,0.013108614,0.16853933,0,0,0,0,0.0093632959
702314-21,0.070615034,0,0,0,0.025056948,0.011389522,0.0045558087,0.01594533,0,0,0,0,0.0045558087,0,0.12528474,0.043280182,0,0.036446469,0,0
702314-22,0.06640625,0,0.001953125,0.009765625,0.0078125,0,0.03125,0.001953125,0,0,0,0.013671875,0.00390625,0,0.22070313,0.00390625,0,0.04296875,0,0
702315-1,0.1,0.02,0.022,0,0.024,0,0.152,0,0.032,0.01,0,0.004,0,0,0.012,0.042,0.03,0,0.014,0.018
702315-2,0.10323887,0.026315789,0,0.0020242915,0,0,0.22874494,0,0.024291498,0.004048583,0,0,0,0,0.010121457,0.032388664,0.01417004,0,0,0
702315-3,0.089928058,0.050359712,0,0.0071942446,0,0.017985612,0.13309353,0.039568345,0.0017985612,0,0.021582734,0,0.010791367,0,0.028776978,0.03057554,0,0.0035971223,0,0.017985612
702315-4,0.11947627,0,0,0.0098199673,0,0,0.18003273,0.0016366612,0.027823241,0,0,0.0098199673,0,0,0.0098199673,0.022913257,0.016366612,0.0081833061,0,0.039279869
702315-5,0.072041166,0.051457976,0,0,0,0,0.18010292,0,0.037735849,0,0,0.0017152659,0,0.0017152659,0.0051457976,0.041166381,0,0,0,0.0034305317
702315-6,0.076923077,0.0091575092,0,0.0018315018,0.0054945055,0.0036630037,0.22161172,0,0.031135531,0,0.032967033,0,0,0.027472527,0,0,0,0,0.014652015,0
702315-7,0.096226415,0,0.0018867925,0,0,0.0018867925,0.18679245,0,0,0,0.049056604,0,0,0.024528302,0,0.018867925,0,0,0.013207547,0.10566038
702315-8,0.12463768,0.030434783,0,0,0,0,0.15362319,0,0,0,0.01884058,0,0.0028985507,0.011594203,0.0028985507,0.017391304,0,0.0014492754,0,0.052173913
702316-1,0.14419476,0.0018726592,0,0,0,0,0,0,0.0056179775,0.078651685,0.050561798,0.0074906367,0.0056179775,0.11985019,0,0.056179775,0,0,0,0
702316-2,0.11710037,0.0092936803,0,0,0,0,0.0074349442,0.024163569,0,0.042750929,0.016728625,0,0.016728625,0.11152416,0,0.035315985,0,0.029739777,0,0.046468401
702316-3,0.12115732,0.037974684,0,0,0,0.03074141,0,0.01084991,0,0.070524412,0.012658228,0,0.014466546,0.084990958,0.014466546,0.047016275,0.0018083183,0.01084991,0,0.023508137
702316-4,0.11731844,0.041899441,0,0,0,0,0,0.019553073,0.033519553,0.20391061,0.019553073,0,0,0.025139665,0,0,0,0,0.022346369,0
702316-5,0.12044374,0.026941363,0.012678288,0,0,0.0015847861,0.034865293,0.0063391442,0,0.12044374,0.053882726,0.019017433,0,0.020602219,0,0,0,0.025356577,0,0
702316-6,0.11368421,0,0,0,0,0.0021052632,0.04,0.0063157895,0.018947368,0.050526316,0.035789474,0.010526316,0,0.17263158,0,0.016842105,0,0,0,0
702316-7,0.11538462,0.0048076923,0,0,0.016025641,0,0.02724359,0.0064102564,0.0064102564,0.02724359,0,0.0032051282,0,0.20192308,0.025641026,0.017628205,0,0.0080128205,0,0
702316-8,0.12280702,0,0,0,0,0,0.03030303,0,0.004784689,0.049441786,0.0079744817,0.015948963,0,0.18660287,0,0.027113238,0,0,0,0
702316-9,0.11722488,0,0,0.0023923445,0,0,0.019138756,0.004784689,0.004784689,0.04784689,0,0.011961722,0,0.16985646,0.052631579,0,0,0,0,0
702317-1,0.061503417,0,0.018223235,0,0,0,0,0,0.0045558087,0,0.027334852,0,0.39179954,0,0,0,0.0022779043,0,0.0022779043,0
702317-2,0.0038387716,0.011516315,0,0,0.017274472,0,0,0.040307102,0,0,0.0019193858,0,0.4049904,0,0,0,0.0038387716,0.038387716,0.0019193858,0
702317-3,0.07293666,0.0057581574,0,0,0,0,0,0.038387716,0,0,0,0,0.36660269,0.0019193858,0,0,0,0.0019193858,0.0038387716,0
702317-4,0.045454545,0,0,0.0018181818,0.018181818,0.0054545455,0,0.012727273,0,0,0,0.041818182,0.22181818,0,0,0.0036363636,0.0054545455,0.054545455,0,0
