ID,Date stamp,Date,0,1,2,3,4,5,6,7,8,9
702313-01,1,1/1/18,0,0,0.023109244,0,0.044117647,0,0.1302521,0.19117647,0.048319328,0.042016807
702313-02,1,1/1/18,0.006329114,0,0.099683544,0,0.006329114,0.009493671,0.15822785,0.10759494,0.039556962,0.023734177
702313-03,1,1/1/18,0,0.013043478,0.045652174,0,0.008695652,0,0.21956522,0.13695652,0.05,0.02173913
702313-04,1,1/1/18,0,0.002074689,0.045643154,0.002074689,0,0,0.23858921,0.12655602,0.004149378,0.049792531
702313-05,1,1/1/18,0.001597444,0,0.030351438,0,0.028753994,0.020766773,0.18210863,0.1485623,0.001597444,0.033546326
702313-06,1,1/1/18,0,0,0.048832272,0,0,0,0.24840764,0.1507431,0,0.031847134
702313-07,1,1/1/18,0.007722008,0,0.005791506,0.019305019,0,0,0.23938224,0.13706564,0.028957529,0
702313-08,1,1/1/18,0,0.008645533,0.036023055,0.028818444,0,0,0.17867435,0.15273775,0.040345821,0.010086455
702313-09,1,1/1/18,0.00618238,0,0.066460587,0.007727975,0.004636785,0,0.24729521,0.10664606,0.020092736,0.013910355
702313-10,1,1/1/18,0,0.015025042,0.033388982,0.021702838,0,0,0.19198664,0.14524207,0.015025042,0.008347245
702313-11,1,1/1/18,0.010438413,0,0.020876827,0.014613779,0,0,0.19832985,0.17954071,0.029227557,0.014613779
702314-1,1,1/1/18,0.007680492,0.026113671,0.023041475,0.023041475,0,0.013824885,0.17665131,0.0906298,0,0.007680492
702314-2,1,1/1/18,0,0.003225807,0,0,0.003225807,0,0.23064516,0.096774194,0,0.016129032
702314-3,1,1/1/18,0.006666667,0.008888889,0,0,0.031111111,0.004444444,0.18222222,0.10222222,0,0.013333333
702314-4,1,1/1/18,0,0.016901408,0,0.049295775,0.016901408,0.001408451,0.17183099,0.12112676,0.002816901,0
702314-5,1,1/1/18,0,0.013157895,0.004934211,0.027960526,0.004934211,0,0.17269737,0.15296053,0.006578947,0
702314-6,1,1/1/18,0.009831461,0,0,0.04494382,0,0,0.2008427,0.11376404,0.025280899,0
702314-7,1,1/1/18,0,0.018518519,0,0,0,0,0.24867725,0.13227513,0,0
702314-8,1,1/1/18,0.009195402,0.002298851,0,0.018390805,0,0.016091954,0.18850575,0.098850575,0,0.002298851
702314-9,1,1/1/18,0,0,0.001494768,0.01793722,0,0,0.24813154,0.13004484,0.005979073,0.001494768
702314-10,1,1/1/18,0.006546645,0.008183306,0.024549918,0.014729951,0,0,0.1898527,0.11620295,0,0.011456628
702314-11,1,1/1/18,0,0,0.004149378,0.033195021,0,0.004149378,0.19709544,0.12240664,0.004149378,0
702314-12,1,1/1/18,0,0,0.006908463,0.03626943,0.003454231,0,0.27115717,0.041450777,0,0.006908463
702314-13,1,1/1/18,0,0,0.012844037,0.001834862,0,0.00733945,0.26605505,0.071559633,0,0.001834862
702314-14,1,1/1/18,0,0,0,0.054347826,0.017391304,0.017391304,0.29347826,0.052173913,0,0
702314-15,1,1/1/18,0.001533742,0.001533742,0,0,0,0.013803681,0.25,0.084355828,0.006134969,0
702314-16,1,1/1/18,0.001605136,0.008025682,0.009630819,0.008025682,0.017656501,0,0.19743178,0.13001605,0,0
702314-17,1,1/1/18,0,0.022222222,0.009876543,0.064197531,0,0,0.1382716,0.11604938,0,0
702314-18,1,1/1/18,0,0,0,0.038720539,0,0.003367003,0.20707071,0.1043771,0.005050505,0
702314-19,1,1/1/18,0,0.021452145,0,0.01320132,0,0.008250825,0.26567657,0.04620462,0,0.01320132
702314-20,1,1/1/18,0,0,0,0,0.014981273,0,0.20224719,0.12734082,0.005617978,0
702314-21,1,1/1/18,0,0.041002278,0.013667426,0,0,0.029612756,0.14350797,0.10933941,0,0
702314-22,1,1/1/18,0,0.03515625,0,0.025390625,0,0,0.26953125,0.06640625,0.0078125,0
702315-1,1,1/1/18,0.034,0,0.04,0,0,0.19,0,0.122,0.05,0.044
702315-2,1,1/1/18,0.002024292,0,0,0,0.012145749,0.27530364,0.066801619,0.089068826,0,0
702315-3,1,1/1/18,0,0.012589928,0.017985612,0.014388489,0,0.18884892,0.043165468,0.10251799,0.050359712,0.023381295
702315-4,1,1/1/18,0,0,0,0.04091653,0,0.13584288,0.029459902,0.15220949,0.065466448,0.021276596
702315-5,1,1/1/18,0.003430532,0,0,0.005145798,0.008576329,0.22641509,0.037735849,0.10291595,0.005145798,0.005145798
702315-6,1,1/1/18,0,0,0.007326007,0,0.014652015,0.2032967,0.04029304,0.098901099,0.025641026,0.034798535
702315-7,1,1/1/18,0.011320755,0.005660377,0,0,0.030188679,0.15283019,0,0.13962264,0.11886792,0.039622642
702315-8,1,1/1/18,0,0,0.002898551,0,0.008695652,0.16376812,0.008695652,0.12608696,0.076811594,0.028985507
702316-1,1,1/1/18,0,0,0,0.001872659,0.14981273,0.020599251,0,0.24719101,0.001872659,0.048689139
702316-2,1,1/1/18,0,0.013011152,0.027881041,0,0.17286245,0.00929368,0,0.17472119,0.046468401,0.013011152
702316-3,1,1/1/18,0.036166365,0,0.043399638,0,0.1681736,0.021699819,0.012658228,0.15913201,0.014466546,0.025316456
702316-4,1,1/1/18,0.002793296,0.01396648,0.053072626,0,0.17597765,0.036312849,0.01396648,0.11731844,0,0.069832402
702316-5,1,1/1/18,0.001584786,0.015847861,0.022187005,0,0.12361331,0.028526149,0.026941363,0.15055468,0.001584786,0.071315372
702316-6,1,1/1/18,0,0,0,0,0.22736842,0,0.058947368,0.13263158,0.012631579,0.035789474
702316-7,1,1/1/18,0,0.004807692,0.004807692,0.012820513,0.17467949,0.009615385,0.075320513,0.1650641,0,0.012820513
702316-8,1,1/1/18,0,0,0.006379585,0,0.15948963,0,0.066985646,0.15629984,0.01754386,0.038277512
702316-9,1,1/1/18,0.002392345,0,0,0.023923445,0.1722488,0,0.076555024,0.14832536,0.007177034,0
702317-1,1,1/1/18,0.022779043,0.020501139,0.35990888,0.002277904,0,0,0,0.072892938,0,0.029612756
702317-2,1,1/1/18,0.003838772,0,0.48560461,0,0,0.013435701,0,0,0,0.021113244
702317-3,1,1/1/18,0.003838772,0,0.40882917,0,0,0,0,0.078694818,0,0
702317-4,1,1/1/18,0.014545455,0.02,0.29818182,0,0.007272727,0,0.005454546,0.061818182,0.003636364,0
702317-5,1,1/1/18,0,0.01462766,0.3643617,0.005319149,0,0,0.007978723,0.061170213,0.019946809,0.007978723
702317-6,1,1/1/18,0.001934236,0,0.38297872,0,0,0,0,0.073500967,0,0
702317-7,1,1/1/18,0,0.039017341,0.3583815,0.001445087,0,0,0.005780347,0.067919075,0.00433526,0.014450867
702317-8,1,1/1/18,0.10893246,0.010893246,0.23747277,0.006535948,0.008714597,0,0,0.078431373,0.047930283,0
702317-9,1,1/1/18,0,0.01984127,0.3531746,0,0.001984127,0.003968254,0.001984127,0.055555556,0.015873016,0
702317-10,1,1/1/18,0.011864407,0.018644068,0.35084746,0,0,0.013559322,0.001694915,0.086440678,0.010169492,0.010169492
702317-11,1,1/1/18,0,0,0.32432432,0,0,0.027027027,0,0.094594595,0,0.013513514
702317-12,1,1/1/18,0,0.041666667,0.2797619,0.013888889,0.015873016,0,0,0.089285714,0.011904762,0
711913-1,2,7/1/18,0.044285714,0.031428571,0.03,0,0.021428571,0.034285714,0.065714286,0.11142857,0.058571429,0.007142857
711913-1,2,7/1/18,0.028125,0.03125,0,0,0.0390625,0.003125,0.03125,0.1484375,0.140625,0.003125
711913-3,2,7/1/18,0.004694836,0,0.015649452,0.023474178,0.014084507,0,0,0.21752739,0.17527387,0.006259781
711913-4,2,7/1/18,0,0.015444015,0.001930502,0.023166023,0.013513514,0.034749035,0.028957529,0.17567568,0.13513514,0
